国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
安哥拉,2014,639843,62.731,3843.198241,3657.515,7.547056779,
埃塞俄比亚,2014,683203,18.998,449.4203771,1855.05,38.52044969,
埃及,2014,92402,42.839,2648.294169,4612,11.33770892,
阿尔及利亚,2014,633429,70.221,4702.0917,1506.73,10.28644397,
中非,2013,313,39.663,335.0622829,1.853,32.25890625,
乍得,2013,114983,22.248,928.5631895,520.201,50.04519248,
赞比亚,2013,249050,40.865,1620.154036,2099.8,8.226563713,
乌干达,2013,44209,20.958,665.4167275,1096,25.47995235,
突尼斯,2013,13286,67.495,4220.389835,1116.542,8.890252195,
坦桑尼亚,2013,170976,30.196,817.1226341,2087.3,26.79086792,
索马里,2013,,42.117,,258,,
苏丹,2013,198435,33.507,1821.310172,1687.884,33.7625756,
斯威士兰,2013,0,22.999,4571.012762,84.671,10.11543445,
圣多美和普林西比,2013,126,68.208,1160.163314,12.16,12.33342495,
塞舌尔,2013,6985,54.537,12489.31492,170.25,2.667339015,
塞内加尔,2013,20290,45.019,1290.156421,311.278,13.69093736,
塞拉利昂,2013,17018,40.036,555.2055624,429.664,47.98330898,
尼日利亚,2013,427352,46.118,2476.863878,5608.45,20.75862283,
尼日尔,2013,50777,16.208,372.1858668,719.134,35.80097605,
南非,2013,39544,63.793,7563.992777,8300.104,2.097756311,
纳米比亚,2013,22153,44.756,5890.353116,769.865,6.344460829,
莫桑比克,2013,78628,33.36,534.506343,6175.125,23.50395072,
摩洛哥,2013,36252,59.7,3087.123497,3298.101,13.38956681,
毛里塔尼亚,2013,22291,49.306,1335.349959,1125.684,17.99607499,
毛里求斯,2013,25242,41.222,8848.887032,293.342,3.375429985,
马里,2013,27783,38.398,679.9097219,307.853,36.73205152,
马拉维,2013,8999,15.966,493.8183695,88.521,28.67364219,
马达加斯加,2013,9522,33.878,465.3887399,551.317,26.49303398,
卢旺达,2013,14396,16.947,664.5676808,257.642,28.89136513,
利比亚,2013,56362,78.756,8649.89841,702,0,
利比里亚,2013,25017,48.985,597.3813897,1061.27,37.2278448,
莱索托,2013,35581,26.101,1361.732905,84.055,5.774814936,
肯尼亚,2013,144740,24.794,1032.277327,1118.825,26.44333406,
科特迪瓦,2013,32876,48.593,1298.544868,407.475,20.97862591,
科摩罗,2013,5188,28.223,1373.36033,4.23,30.78986256,
喀麦隆,2013,114086,53.373,1358.7833,567.239,13.89889921,
津巴布韦,2013,98507,32.654,1225.558112,400,7.144479446,
加蓬,2013,43712,87.156,9409.040682,771.193,3.329080651,
加纳,2013,177127,52.748,1617.466754,3226.33,20.45249595,
几内亚(比绍),2013,3168,41.31,565.0479699,19.64,44.13561101,
几内亚,2013,42618,34.545,731.5588678,133.96,17.54527212,
吉布提,2013,6497,77.222,,286.004,1.194871772,
刚果(金),2013,93993,41.627,375.2191755,2098.249,19.31666763,
刚果(布),2013,187634,64.627,2884.436281,609.441,4.362166032,
冈比亚,2013,313,57.82,781.6818048,25.5,26.22212251,
佛得角,2013,2462,63.317,3445.305377,69.56,8.279068071,
厄立特里亚,2013,11517,,,43.859,,
多哥,2013,18021,39.061,593.1620921,183.547,37.51484194,
赤道几内亚,2013,262767,69.544,16764.42871,582.949,1.19199068,
布隆迪,2013,28122,11.482,242.8459947,7.407,38.3671082,
布基纳法索,2013,39,26.346,631.6102606,490.264,31.66615924,
博茨瓦纳,2013,40502,65.572,7646.414315,67.137,2.298528876,
贝宁,2013,23658,44.642,1102.52743,360.241,25.27540464,
安哥拉,2013,745040,62.002,3796.882622,-7120.017,6.50749254,
埃塞俄比亚,2013,355663,18.575,419.1838603,1343.876,41.23950553,
埃及,2013,102806,42.893,2632.058233,4256,11.2743496,
阿尔及利亚,2013,519762,69.576,4623.017322,1696.867,9.85109233,
中非,2012,6960,39.388,528.1297068,70.035,36.81416647,
乍得,2012,79807,22.142,908.4261224,579.793,54.89981381,
赞比亚,2012,123381,40.354,1591.319994,1731.5,9.321531002,
乌干达,2012,26899,20.424,663.4924025,1205.388,26.08152859,
突尼斯,2012,10989,67.218,4142.494431,1603.186,9.085856748,
坦桑尼亚,2012,114610,29.493,788.4391516,1799.6,26.55092652,
